method,agent,source_type,point_idx,x,y
rule_based,robot2,odom,136,-3.36866893134256,-2.995862585009489
rule_based,robot2,odom,137,-3.4191311263751314,-2.9930881136161953
rule_based,robot2,odom,138,-3.4693697197195537,-2.9893845298034187
rule_based,robot2,odom,139,-3.5175437108559167,-2.991328962492134
rule_based,robot2,odom,140,-3.5685523407637434,-2.9934474550515575
rule_based,robot2,odom,141,-3.6158546710807253,-2.9970603191697296
rule_based,robot2,odom,142,-3.665899685145502,-3.001830409482924
rule_based,robot2,odom,143,-3.713162286965593,-3.0169552048070933
rule_based,robot2,odom,144,-3.762056064325053,-3.029552292194496
rule_based,robot2,odom,145,-3.8066317965670833,-3.054001258139368
rule_based,robot2,odom,146,-3.8529335814651797,-3.0728840377415563
rule_based,robot2,odom,147,-3.895980250513569,-3.0983730938547707
rule_based,robot2,odom,148,-3.9392075317756587,-3.120127742786379
rule_based,robot2,odom,149,-3.9818560745362137,-3.1437000055230175
rule_based,robot2,odom,150,-4.024157331744743,-3.1693746741159847
rule_based,robot2,odom,151,-4.0632967080865,-3.1978734050547537
rule_based,robot2,odom,152,-4.133116389844908,-3.2706284999705875
rule_based,robot2,odom,153,-4.161159259270322,-3.313792010924602
rule_based,robot2,odom,154,-4.1911089632000795,-3.3535246048762146
rule_based,robot2,odom,155,-4.217849920966314,-3.3951049462580927
rule_based,robot2,odom,156,-4.243867192091793,-3.439104344001118
rule_based,robot2,odom,157,-4.268945677380684,-3.4795497931918624
rule_based,robot2,odom,158,-4.292834025017584,-3.5236236717991614
rule_based,robot2,odom,159,-4.306631382065589,-3.5711312346036177
rule_based,robot2,odom,160,-4.323831918638139,-3.6182041745913107
rule_based,robot2,odom,161,-4.328594900628245,-3.6683340158214888
rule_based,robot2,odom,162,-4.339448411397172,-3.7175359440100033
rule_based,robot2,odom,163,-4.3405161997328765,-3.768096400650285
rule_based,robot2,odom,164,-4.346062213000567,-3.8174278072046226
rule_based,robot2,odom,165,-4.346087057163961,-3.866755330668281
rule_based,robot2,odom,166,-4.343820440625173,-3.91594980885472
rule_based,robot2,odom,167,-4.341305174549025,-3.9644313814981227
rule_based,robot2,odom,168,-4.331230757840902,-4.013041677869536
rule_based,robot2,odom,169,-4.3187998494961155,-4.061438233389238
rule_based,robot2,odom,170,-4.300445017375743,-4.108683689086145
rule_based,robot2,odom,171,-4.282149115904785,-4.15558179568001
rule_based,robot2,odom,172,-4.238307093879148,-4.247065788814985
rule_based,robot2,odom,173,-4.216335171936474,-4.289807326585253
rule_based,robot2,odom,174,-4.1911688468252954,-4.332974446539117
rule_based,robot2,odom,175,-4.158520090596501,-4.3700475088635
rule_based,robot2,odom,176,-4.127884798507742,-4.408961745535459
rule_based,robot2,odom,177,-4.09035156768414,-4.440583645299712
rule_based,robot2,odom,178,-4.054986700388765,-4.476450394313462
rule_based,robot2,odom,179,-4.012239336998064,-4.50333620085594
rule_based,robot2,odom,180,-3.973191676777064,-4.534884448484002
rule_based,robot2,odom,181,-3.931437785476989,-4.561286498612578
rule_based,robot2,odom,182,-3.8902777772350943,-4.586923033939754
rule_based,robot2,odom,183,-3.850202296392237,-4.612224261742725
rule_based,robot2,odom,184,-3.80347930479301,-4.629409420285745
rule_based,robot2,odom,185,-3.756482105626024,-4.644864015552264
rule_based,robot2,odom,186,-3.7071507821661056,-4.655849112606779
rule_based,robot2,odom,187,-3.6579595366213367,-4.666246376041587
rule_based,robot2,odom,188,-3.6085186625865546,-4.675421288075122
rule_based,robot2,odom,189,-3.558925667908177,-4.6810975864004405
rule_based,robot2,odom,190,-3.5094597388026565,-4.684260387454831
rule_based,robot2,odom,191,-3.411340793775368,-4.683047674498569
rule_based,robot2,odom,192,-3.3624050063076183,-4.681409942594379
rule_based,robot2,odom,193,-3.314352486014439,-4.664969632443628
rule_based,robot2,odom,194,-3.2646442374970115,-4.656279370672166
rule_based,robot2,odom,195,-3.2188135957971125,-4.635471451360094
rule_based,robot2,odom,196,-3.1707675145886087,-4.619714810334435
rule_based,robot2,odom,197,-3.124981430765017,-4.601078460809895
rule_based,robot2,odom,198,-3.080574518719374,-4.5796069975560085
rule_based,robot2,odom,199,-3.037371083325579,-4.560118305577633
rule_based,robot2,odom,200,-2.9962753307829946,-4.531979465062465
rule_based,robot2,odom,201,-2.9575965527937296,-4.499938435940225
rule_based,robot2,odom,202,-2.921729776353157,-4.464198984108554
rule_based,robot2,odom,203,-2.8879266757568214,-4.4270632403552375
rule_based,robot2,odom,204,-2.8535498015745917,-4.3910889558862705
rule_based,robot2,odom,205,-2.8216916723781007,-4.3518802511112336
rule_based,robot2,odom,206,-2.791360832784704,-4.313490858073579
rule_based,robot2,odom,207,-2.7630565517831736,-4.27357503708348
rule_based,robot2,odom,208,-2.7370248633549474,-4.232397691233207
rule_based,robot2,odom,209,-2.711011194665465,-4.190941523663062
rule_based,robot2,odom,210,-2.696858790089872,-4.141606608771182
rule_based,robot2,odom,211,-2.6764266735570112,-4.0956536921754205
rule_based,robot2,odom,212,-2.6660342688845846,-4.046746958049698
rule_based,robot2,odom,213,-2.642161402383518,-3.949904340979015
rule_based,robot2,odom,214,-2.635460763870706,-3.9012806952977495
rule_based,robot2,odom,215,-2.6271793728549837,-3.855090894427911
rule_based,robot2,odom,216,-2.621156648013127,-3.806449897098017
rule_based,robot2,odom,217,-2.6201497229734643,-3.7582434993289375
rule_based,robot2,odom,218,-2.623477535036457,-3.7078884962968206
rule_based,robot2,odom,219,-2.6331087383439638,-3.6578634552653297
rule_based,robot2,odom,220,-2.642631589420519,-3.6081908503900415
rule_based,robot2,odom,221,-2.651991625715801,-3.5595921962767956
rule_based,robot2,odom,222,-2.6650752134441045,-3.5114572356073923
rule_based,robot2,odom,223,-2.6806108873421644,-3.4648403986763405
rule_based,robot2,odom,224,-2.6938996627142773,-3.420299783556536
rule_based,robot2,odom,225,-2.7118371516057094,-3.374584436223936
rule_based,robot2,odom,226,-2.7387953358924997,-3.3328311838866216
rule_based,robot2,odom,227,-2.7635623029222285,-3.288961379108411
rule_based,robot2,odom,228,-2.798094058630048,-3.2518235174085452
rule_based,robot2,odom,229,-2.828642411598139,-3.210934800566555
rule_based,robot2,odom,230,-2.8617788746466997,-3.1746350527491862
rule_based,robot2,odom,231,-2.894941397248412,-3.138091589027988
rule_based,robot2,odom,232,-2.929088095405873,-3.104380668629318
rule_based,robot2,odom,233,-2.963999227120733,-3.071076597648911
rule_based,robot2,odom,234,-2.9993002576931715,-3.0397769739373937
rule_based,robot2,odom,235,-3.087255737192684,-2.9899925235249887
rule_based,robot2,odom,236,-3.132339603379463,-2.966718029518962
rule_based,robot2,odom,237,-3.1767392536492434,-2.9450543028879745
rule_based,robot2,odom,238,-3.223566405723128,-2.9263522117616296
rule_based,robot2,odom,239,-3.27041151288803,-2.9106195769475556
rule_based,robot2,odom,240,-3.317263581014636,-2.89622583109759
rule_based,robot2,odom,241,-3.3653478142292306,-2.8846372506919753
rule_based,robot2,odom,242,-3.412349288313583,-2.8748301662622184
rule_based,robot2,odom,243,-3.4612416824900682,-2.868236920559774
rule_based,robot2,odom,244,-3.511838099027982,-2.8716854831249816
rule_based,robot2,odom,245,-3.5620618914511,-2.8701769890624718
rule_based,robot2,odom,246,-3.611208874560415,-2.872192302564406
rule_based,robot2,odom,247,-3.6607545431756443,-2.8769534619241153
rule_based,robot2,odom,248,-3.7091773275863544,-2.885984871693137
rule_based,robot2,odom,249,-3.757337143429718,-2.896949148266673
